cid	name	dG'0	pH	I	pMg	T	decompose	compound_ref	remark
1507	L-Iditol	-374.3	7	0.25	14	298.15	1	Alberty (2006)	
1755	Thiocyanate	91.8	7	0.25	14	298.15	0	Wagman (1982)	
1845	Propan-2-ol	140.7	7	0.25	14	298.15	1	Alberty (2006)	
2037	Glycylglycine	-194.6	7	0.25	14	298.15	1	Alberty (2006)	
2226	2-Methylmaleate	-441	7	0.25	14	298.15	1	Alberty (2006)	
2271	Dichloromethane	15.4	7	0.25	14	298.15	0	Dolfing (1994)	
2357	2-Chlorobenzoate	-75.7	7	0.25	14	298.15	1	Dolfing (1992)	
2359	2-Fluorobenzoate	-236.5	7	0.25	14	298.15	1	Dolfing (1992)	
2364	3-Fluorobenzoate	-231	7	0.25	14	298.15	1	Dolfing (1992)	
2370	4-Chlorobenzoate	-77.3	7	0.25	14	298.15	1	Dolfing (1992)	
2371	4-Fluorobenzoate	-226	7	0.25	14	298.15	1	Dolfing (1992)	
2612	(R)-2-Methylmalate	-602.7	7	0.25	14	298.15	1	Alberty (2006)	
3196	(S)-2-Hydroxyglutarate	-599	7	0.25	14	298.15	1	Alberty (2006)	
3232	3-Phosphonooxypyruvate	-1374.5	7	0.25	14	298.15	1	Alberty (2006)	
3383	D-Galactono-1,4-lactone	-497.9	7	0.25	14	298.15	1	Alberty (2006)	
3384	D-Galactose 1-phosphate	-1311.8	7	0.25	14	298.15	1	Alberty (2006)	
5361	Hydrazine	290.9	7	0.25	14	298.15	0	Thauer (1977)	
5572	4-Oxoglutaramate	-352.2	7	0.25	14	298.15	1	Alberty (2006)	
5979	Propane-1-ol	150.1	7	0.25	14	298.15	1	Alberty (2006)	
5984	2-Hydroxybutanoic acid	-221.9	7	0.25	14	298.15	1	Thauer (1977)	
6142	1-Butanol	235.6	7	0.25	14	298.15	1	Alberty (2006)	
6547	Ethylene	244.4	7	0.25	14	298.15	1	Dolfing (1994)	
6670	2,4-Dichlorobenzoate	-155	7	0.25	14	298.15	1	Dolfing (1992)	
6752	1,2-Dichloroethane	90	7	0.25	14	298.15	1	Dolfing (1994)	
6789	Tetrachloroethene	27.6	7	0.25	14	298.15	1	Dolfing (1994)	
6790	Trichloroethene	66.2	7	0.25	14	298.15	1	Dolfing (1994)	
6791	trans-1,2-Dichloroethene	113.5	7	0.25	14	298.15	1	Dolfing (1994)	
6792	cis-1,2-Dichloroethene	109.3	7	0.25	14	298.15	1	Dolfing (1994)	
6793	Vinyl chloride	181.9	7	0.25	14	298.15	1	Dolfing (1994)	
7561	Carbon tetrachloride	-45.1	7	0.25	14	298.15	0	Dolfing (1994)	
9306	Sulfur dioxide	-300.7	7	0.25	14	298.15	0	Thauer (1977)	
13827	Chloroform	-25.8	7	0.25	14	298.15	0	Dolfing (1994)	
14039	1,1-Dichloroethylene	113.7	7	0.25	14	298.15	1	Dolfing (1994)	
14400	1,2,3-Trichloropropane	103.2	7	0.25	14	298.15	1	Dolfing (1994)	
14705	1,1,1,2-Tetrachloroethane	3.7	7	0.25	14	298.15	1	Dolfing (1994)	
14818	Fe2+	-82.1	7	0.25	14	298.15	0	Thauer (1977)	
14819	Fe3+	-11.9	7	0.25	14	298.15	0	Thauer (1977)	
18246	1,1,1-Trichloroethane	53.2	7	0.25	14	298.15	1	Dolfing (1994)	
18247	1,1-Dichloroethane	94.3	7	0.25	14	298.15	1	Dolfing (1994)	
18248	Chloroethane	166.9	7	0.25	14	298.15	1	Dolfing (1994)	
19034	1,2-Dichloropropane	164.6	7	0.25	14	298.15	1	Dolfing (1994)	
19248	Hexachloroethane	-49.6	7	0.25	14	298.15	1	Dolfing (1994)	
19496	Pentachloroethane	-27.5	7	0.25	14	298.15	1	Dolfing (1994)	
19536	1,1,2-Trichloroethane	44.6	7	0.25	14	298.15	1	Dolfing (1994)	
80002	Monochlorobenzene	306	7	0.25	14	298.15	1	Dolfing (1992)	
80003	1,2-Dichlorobenzene	247.3	7	0.25	14	298.15	1	Dolfing (1992)	
80004	1,3-Dichlorobenzene	244.8	7	0.25	14	298.15	1	Dolfing (1992)	
80005	1,4-Dichlorobenzene	241.3	7	0.25	14	298.15	1	Dolfing (1992)	
80006	1,2,3-Trichlorobenzene	193.9	7	0.25	14	298.15	1	Dolfing (1992)	
80007	1,2,4-Trichlorobenzene	182.7	7	0.25	14	298.15	1	Dolfing (1992)	
80008	1,3,5-Trichlorobenzene	179	7	0.25	14	298.15	1	Dolfing (1992)	
80009	1,2,3,4-Tetrachlorobenzene	137.3	7	0.25	14	298.15	1	Dolfing (1992)	
80010	1,2,3,5-Tetrachlorobenzene	130.7	7	0.25	14	298.15	1	Dolfing (1992)	
80011	1,2,4,5-Tetrachlorobenzene	135	7	0.25	14	298.15	1	Dolfing (1992)	
80012	Pentachlorobenzene	86.4	7	0.25	14	298.15	1	Dolfing (1992)	
80013	Hexachlorobenzene	46	7	0.25	14	298.15	1	Dolfing (1992)	
80014	3-Chlorobenzoate	-83.8	7	0.25	14	298.15	1	Dolfing (1992)	
80015	2,3-Dichlorobenzoate	-148.3	7	0.25	14	298.15	1	Dolfing (1992)	
80016	2,5-Dichlorobenzoate	-157.3	7	0.25	14	298.15	1	Dolfing (1992)	
80017	2,6-Dichlorobenzoate	-141.2	7	0.25	14	298.15	1	Dolfing (1992)	
80018	3,4-Dichlorobenzoate	-142.8	7	0.25	14	298.15	1	Dolfing (1992)	
80019	3,5-Dichlorobenzoate	-152.1	7	0.25	14	298.15	1	Dolfing (1992)	
80020	2,3,5-Trichlorobenzoate	-212.7	7	0.25	14	298.15	1	Dolfing (1992)	
80021	3,4,5-Trichlorobenzoate	-200.9	7	0.25	14	298.15	1	Dolfing (1992)	
80022	2-Bromobenzoate	-47.3	7	0.25	14	298.15	1	Dolfing (1992)	
80023	3-Bromobenzoate	-40.8	7	0.25	14	298.15	1	Dolfing (1992)	
80024	4-Bromobenzoate	-34.1	7	0.25	14	298.15	1	Dolfing (1992)	
80025	2-Iodobenzoate	15.7	7	0.25	14	298.15	1	Dolfing (1992)	
80026	3-Iodobenzoate	18.1	7	0.25	14	298.15	1	Dolfing (1992)	
80027	4-Iodobenzoate	20.9	7	0.25	14	298.15	1	Dolfing (1992)	
80028	2-Amino-5-chlorobenzoate	-12.6	7	0.25	14	298.15	1	Dolfing (1992)	
80029	2-Hydroxy-5-chlorobenzoate	-246.7	7	0.25	14	298.15	1	Dolfing (1992)	
80030	2-Methyl-5-chlorobenzoate	6.6	7	0.25	14	298.15	1	Dolfing (1992)	
80043	Chloromethane	69.5	7	0.25	14	298.15	0	Dolfing (1994)	
80045	Ethane	227	7	0.25	14	298.15	1	Dolfing (1994)	
80046	1,1,2,2-Tetrachloroethane	-7.4	7	0.25	14	298.15	1	Dolfing (1994)	
80047	Propane	318.6	7	0.25	14	298.15	1	Dolfing (1994)	
80048	1-Chloropropane	240.5	7	0.25	14	298.15	1	Dolfing (1994)	
80049	1,3-Dichloropropane	164.1	7	0.25	14	298.15	1	Dolfing (1994)	
80050	Butane	407.2	7	0.25	14	298.15	1	Dolfing (1994)	
80051	1-Chlorobutane	334.9	7	0.25	14	298.15	1	Dolfing (1994)	
80052	2-Chlorobutane	321.1	7	0.25	14	298.15	1	Dolfing (1994)	
80053	Pentane	498.2	7	0.25	14	298.15	1	Dolfing (1994)	
80054	1-Chloropentane	418.6	7	0.25	14	298.15	1	Dolfing (1994)	
80055	CH3NHp	444	7	0.25	14	298.15	0	Wagman (1982)	
11143	DMSO						0		Placeholder just to tell GERALD not to try to decompose this compound
