TranslatedMetabolite	VMHmetabolite
cpd12381	gglamna
cpd12383	6abdgalsd
cpd12403	6pbggalsd
cpd12407	dolmanp_L
cpd12422	s2hagth
cpd12424	anplglu
cpd12425	anplgln
cpd12427	2dosamn
cpd12431	cmdadprd
cpd12458	ocdcaACP
cpd12470	madc
cpd12473	naglsmn6p
cpd12483	trnan1mgn
cpd12496	phlmfa
cpd12499	dg14bgr
cpd12503	dolmntrl
cpd12506	nflmaatrna
cpd12508	nprsphis
cpd12522	pnadprda
cpd12526	mercapt
cpd12532	dnadafpyr
cpd12543	apoC_Lys
cpd12547	1agpe180
cpd12554	ak2gpe_hs
cpd12560	n3adosamn
cpd12563	adgpgp
cpd12564	trna3acpu
cpd12571	trna2omgsn
cpd12582	pail45p_hs
cpd12591	mmcoapyrct
cpd12592	ananmlbgr
cpd12597	bpcoac
cpd12599	gm3
cpd12601	M00058
cpd12606	plasmetha
cpd12608	apcoac
cpd12638	bdggpglcn
cpd12639	M00065
cpd12640	gm1_hs
cpd12642	M00066
cpd12665	aatrna
cpd12666	ptdaatrna
cpd12677	mbparg
cpd12678	ak2gchol_hs
cpd12689	3otdcoa
cpd12700	mbpnmarg
cpd12711	oazur
cpd12712	razur
cpd12729	u3rbnsd
cpd12734	aadpsae
cpd12737	Ndmelys
cpd12738	Ntmelys
cpd12754	cnhdrn
cpd12755	cglsd
cpd12780	2ppp
cpd12785	4h3ppbzt
cpd12813	dgsldag
cpd12830	M02948
cpd12845	glap
cpd12846	glappc
cpd12847	apoC_Lys
cpd12848	apoC_Lys_btn
cpd12864	M00072
cpd12865	M00073
cpd12868	pdser
cpd12870	rbpclys
cpd12871	rbpcnmlys
cpd12884	pnclt
cpd12896	4obgslpc
cpd13373	hololys2
cpd13429	nglntme
cpd14474	rssr
cpd14475	rooh
cpd14506	M00627
cpd14507	peptmetox_L
cpd14508	M00075
cpd14545	imogly
cpd14590	1hgcrtn
cpd14601	rdpn
cpd14605	34dhrdpn
cpd14608	ahrdvn
cpd14609	rdvn
cpd14610	hsxnthn
cpd14612	sxnthn
cpd14613	2m6pqnl
cpd14614	23dm5pqnl
cpd14617	34dhahrdvn
cpd14618	34dhrdvn
cpd14619	thsxnthn
cpd14623	cxnthn
cpd14628	dmspdn
cpd14630	spdn
cpd14632	hspdn
cpd14633	spdnn
cpd14635	hspdnn
cpd14638	chlbctn
cpd14640	hchlbctn
cpd14654	gdplg
cpd14655	gal1p
cpd14698	3m1hbtpp
cpd14699	HC01377
cpd14700	2m1hptpp
cpd14702	2m1hbtpp
cpd14703	HC01376
cpd14709	17oajmln
cpd14710	26dhponctn
cpd14711	4mabtrt
cpd14712	dhodcnt
cpd14713	hphodcnt
cpd14790	3slact
cpd14795	bnzlcnd
cpd14796	pacaldhom
cpd14865	dhsql
cpd14866	44dpnspr
cpd14874	udpadolarab
cpd14875	u5dpb
cpd14876	udp4kp
cpd14877	ucnlpa
cpd14883	lnlncacoa
cpd14887	clpndcoa
cpd14890	c226coa
cpd14891	adrncoa
cpd14899	M00012
cpd14900	CE4843
cpd14905	ascb6p
cpd14909	dhmoifvn
cpd14922	cisacndl
cpd14923	12acndl
cpd14936	CE2248
cpd14937	od2coa
cpd14938	HC02097
cpd14939	3hoctaACP
cpd14940	toctd2eACP
cpd14955	CE5656
cpd14960	copre5b
cpd14961	copre7
cpd14972	ecnmlcoa
cpd14973	rphacoa
cpd14980	2hohdnt
cpd14982	3clhmsaldh
cpd14988	3h5ohxnt
cpd15028	dpnddg
cpd15029	dpdn3gcg
cpd15037	M00078
cpd15040	eodctnt
cpd15045	3hopc8coa
cpd15046	3opc8ocoa
cpd15049	3hopc6coa
cpd15050	3oopc6coa
cpd15053	3hopc4coa
cpd15054	3oopc4coa
cpd15064	cisclaaldh
cpd15065	M00079
cpd15066	M00080
cpd15067	M00081
cpd15068	7mxtsn
cpd15069	7mxthn
cpd15071	7murt
cpd15072	17dmurt
cpd15073	3mxnthn
cpd15074	1mxnthn
cpd15075	1murt
cpd15076	37dmurt
cpd15087	pgdn3gcg
cpd15088	cndn3gcg
cpd15090	CE4828
cpd15091	CE4825
cpd15093	thexaecoa
cpd15094	3htpentaecoa
cpd15113	thcn4og
cpd15114	phc4og
cpd15115	asdn6og
cpd15116	bttn6og
cpd15121	5dleucpelargn
cpd15130	ipadsn5tp
cpd15131	ipadsn5dp
cpd15165	grnt
cpd15166	ctrnt
cpd15169	tgnlcoa
cpd15170	7moonlcoa
cpd15172	5mh24dnlcoa
cpd15173	3hmhecoa
cpd15174	5mhx4coa
cpd15175	5mohcoa
cpd15176	3fctcl
cpd15177	4fctcl
cpd15178	3fmcnt
cpd15179	2fmcnt
cpd15181	5fmcnlctn
cpd15182	3fch1c
cpd15183	5fch1c
cpd15184	4fch1c
cpd15185	6fch1c
cpd15186	2fch1c
cpd15187	4fchdl
cpd15188	1fchhdl
cpd15237	hdcea
cpd15238	hdcoa
cpd15239	hdeACP
cpd15268	ocdcaACP
cpd15269	ocdcea
cpd15270	ocdcya
cpd15272	ocdycacoa
cpd15274	odecoa
cpd15277	palmACP
cpd15294	tdeACP
cpd15295	tetdece1coa
cpd15297	ttccoa
cpd15298	ttdcea
cpd15302	glycogenb
cpd15306	12dgr120
cpd15307	12dgr140
cpd15308	12dgr141
cpd15309	12dgr160
cpd15310	12dgr161
cpd15311	12dgr180
cpd15312	12dgr181
cpd15313	1agpe120
cpd15314	1agpe140
cpd15315	1agpe141
cpd15316	1agpe160
cpd15317	1agpe161
cpd15318	1agpg120
cpd15319	1agpg140
cpd15320	1agpg141
cpd15321	1agpg160
cpd15322	1agpg161
cpd15323	1agpg180
cpd15324	1agpg181
cpd15325	1ddecg3p
cpd15326	1hdec9eg3p
cpd15327	1hdecg3p
cpd15328	1odec11eg3p
cpd15329	1odecg3p
cpd15330	1tdec7eg3p
cpd15331	1tdecg3p
cpd15336	2agpe120
cpd15337	2agpe140
cpd15338	2agpe141
cpd15339	2agpe160
cpd15340	2agpe161
cpd15341	2agpe180
cpd15342	2agpe181
cpd15343	2agpg120
cpd15344	2agpg140
cpd15345	2agpg141
cpd15346	2agpg160
cpd15347	2agpg161
cpd15348	2agpg180
cpd15349	2agpg181
cpd15350	2ddecg3p
cpd15351	2dhguln
cpd15352	2dmmq8
cpd15353	2dmmql8
cpd15354	2hdec9eg3p
cpd15355	2hdecg3p
cpd15357	2odec11eg3p
cpd15358	2odecg3p
cpd15359	2ombzl
cpd15360	2omhmbl
cpd15361	2ommbl
cpd15362	2tdec7eg3p
cpd15363	2tdecg3p
cpd15364	tprdpcoa
cpd15366	3hcddec5eACP
cpd15368	3hcmrs7eACP
cpd15369	3hcpalm9eACP
cpd15370	3hcvac11eACP
cpd15371	3hoctaACP
cpd15378	4hba
cpd15385	LalaDglu
cpd15386	LalaDgluMdap
cpd15387	LalaDgluMdapDala
cpd15388	LalaLglu
cpd15391	acmum6p
cpd15394	allul6p
cpd15395	alipp
cpd15396	anhgm
cpd15397	anhgm3p
cpd15398	anhgm4p
cpd15399	anhm
cpd15401	anhm4p
cpd15412	bbtcoa
cpd15414	btnso
cpd15417	cdpdddecg
cpd15418	cdpdhdec9eg
cpd15419	cdpdhdecg
cpd15420	cdpdodec11eg
cpd15421	cdpdodecg
cpd15422	cdpdtdec7eg
cpd15423	cdpdtdecg
cpd15425	clpn120
cpd15429	clpn161
cpd15430	clpn180
cpd15431	clpn181
cpd15432	colipa
cpd15439	crnDcoa
cpd15440	crncoa
cpd15441	ctbtcoa
cpd15454	dtdp4aaddg
cpd15466	frulys
cpd15467	frulysph
cpd15468	g3ps
cpd15469	gagicolipa
cpd15475	ggagicolipa
cpd15477	gggagicolipa
cpd15479	gicolipa
cpd15480	grxo
cpd15481	grxr
cpd15482	hacolipa
cpd15483	hakdo2lipa
cpd15484	hhlipa
cpd15485	hlipa
cpd15488	hphhlipa
cpd15489	icolipa
cpd15492	kphphhlipa
cpd15494	malthp
cpd15495	maltpt
cpd15498	metsox_S_L
cpd15499	mql8
cpd15500	mqn8
cpd15501	murein3p3p
cpd15503	murein3px4p
cpd15504	murein3p4p
cpd15505	murein4p4p
cpd15506	murein4px4p
cpd15507	murein4px4p4p
cpd15508	murein4px4px4p
cpd15510	murein5p4p
cpd15514	murein5px4p
cpd15516	o16a2und
cpd15517	o16a3und
cpd15519	o16a4und
cpd15520	o16aund
cpd15521	pa120
cpd15522	pa140
cpd15523	pa141
cpd15524	pa160
cpd15525	pa161
cpd15526	pa180
cpd15527	pa181
cpd15528	pe120
cpd15529	pe140
cpd15530	pe141
cpd15531	pe160
cpd15532	pe161
cpd15533	pe180
cpd15534	pe181
cpd15535	pg120
cpd15536	pg140
cpd15537	pg141
cpd15538	pg160
cpd15539	pg161
cpd15540	pg180
cpd15541	pg181
cpd15542	pgp120
cpd15543	pgp140
cpd15544	pgp141
cpd15545	pgp160
cpd15546	pgp161
cpd15547	pgp180
cpd15548	pgp181
cpd15549	phhlipa
cpd15550	phphhlipa
cpd15552	ps120
cpd15553	ps140
cpd15554	ps141
cpd15555	ps160
cpd15556	ps161
cpd15557	ps180
cpd15558	ps181
cpd15559	psclys
cpd15560	q8
cpd15561	q8h2
cpd15565	sertrna(sec)
cpd15568	t3c11vaceACP
cpd15569	t3c5ddeceACP
cpd15570	t3c7mrseACP
cpd15571	t3c9palmeACP
cpd15572	toctd2eACP
cpd15579	um4p
cpd15581	unagamu
cpd15584	madg
cpd15585	mbdg
cpd15603	glycys
cpd15604	glyleu
cpd15605	glyphe
cpd15606	glytyr
cpd15611	hxal
cpd15634	teich_45_BS
cpd15661	prl45tca
cpd15662	prl45tcaglc
cpd15663	prl45tcaala
cpd15665	PGP
cpd15666	PGPm1
cpd15667	glyc45tca
cpd15668	glyc45tcaala_D
cpd15669	glyc45tcaglc
cpd15671	1ihpdecg3p
cpd15672	1aihpdecg3p
cpd15673	1itdecg3p
cpd15674	1ipdecg3p
cpd15675	1aipdecg3p
cpd15676	1ihdecg3p
cpd15677	pai17
cpd15678	paai17
cpd15679	pai14
cpd15680	pai15
cpd15681	paai15
cpd15682	pai16
cpd15683	cdpdihpdecg
cpd15684	cdpdaihpdecg
cpd15685	cdpditdecg
cpd15686	cdpdipdecg
cpd15687	cdpdaipdecg
cpd15688	cdpdihdecg
cpd15689	psi17
cpd15690	psai17
cpd15691	psi14
cpd15692	psi15
cpd15693	psai15
cpd15694	psi16
cpd15695	pei17
cpd15696	peai17
cpd15697	pei14
cpd15698	pei15
cpd15699	peai15
cpd15700	pei16
cpd15701	12dihdglyc
cpd15702	12daihdglyc
cpd15703	12ditdglyc
cpd15704	12dipdglyc
cpd15705	12daipdglyc
cpd15706	12dixdglyc
cpd15716	pgpi17
cpd15717	pgpai17
cpd15718	pgpi14
cpd15719	pgpi15
cpd15720	pgpai15
cpd15721	pgpi16
cpd15722	pgi17
cpd15723	pgai17
cpd15724	pgi14
cpd15725	pgi15
cpd15726	pgai15
cpd15727	pgi16
cpd15728	diglcpg160
cpd15729	diglcpg140
cpd15730	diglcpg180
cpd15731	diglcpgi17
cpd15732	diglcpgai17
cpd15733	diglcpgi14
cpd15734	diglcpgi15
cpd15735	diglcpgai15
cpd15736	diglcpgi16
cpd15737	m12dpglyc
cpd15738	m12dmglyc
cpd15739	m12dsglyc
cpd15740	m12dihglyc
cpd15741	m12dahglyc
cpd15742	m12ditglyc
cpd15743	m12dipglyc
cpd15744	m12dapglyc
cpd15745	m12dixglyc
cpd15746	palmtca1
cpd15747	myrstca1
cpd15748	sttca1
cpd15749	i17tca1
cpd15750	ai17tca1
cpd15751	i14tca1
cpd15752	i15tca1
cpd15753	ai15tca1
cpd15754	i16tca1
cpd15755	palmtcaglc
cpd15756	myrstcaglc
cpd15757	sttcaglc
cpd15758	i17tcaglc
cpd15759	ai17tcaglc
cpd15760	i14tcaglc
cpd15761	i15tcaglc
cpd15762	ai15tcaglc
cpd15763	i16tcaglc
cpd15764	palmtcaacgam
cpd15765	myrstcaacgam
cpd15766	sttcaacgam
cpd15767	i17tcaacgam
cpd15768	ai17tcaacgam
cpd15769	i14tcaacgam
cpd15770	i15tcaacgam
cpd15771	ai15tcaacgam
cpd15772	i16tcaacgam
cpd15773	palmtcaala_D
cpd15774	myrstcaala_D
cpd15775	sttcaala_D
cpd15776	i17tcaala_D
cpd15777	ai17tcaala_D
cpd15778	i14tcaala_D
cpd15779	i15tcaala_D
cpd15780	ai15tcaala_D
cpd15781	i16tcaala_D
cpd15791	clpn160
cpd15792	clpn140
cpd15793	clpn180
cpd15794	clpni17
cpd15795	clpnai17
cpd15796	clpni14
cpd15797	clpni15
cpd15798	clpnai15
cpd15799	clpni16
cpd15914	4hbzACP
cpd15951	dmlgnc
cpd15971	mbhn
cpd16013	phdca
cpd16014	phdcaACP
cpd16015	phdcacoa
cpd16022	ppdima
cpd16023	pphthdl
cpd16024	pphthiocerol
cpd16028	prepphth
cpd16029	prepphthACP
cpd16034	scl2
cpd16038	tamocta
cpd16050	tmhexc
cpd16062	Cit_Mg
cpd16292	jh3acd
cpd16301	clpnd
cpd16329	do5furi
cpd16335	2s5epchc
cpd16336	ispre
cpd16337	M00010
cpd16340	eidi1114ac
cpd16341	CE2510
cpd16342	adrn
cpd16343	docoscoa
cpd16344	ei11ecoa
cpd16345	doco13ecoa
cpd16346	nrvnccoa
cpd16347	dcsdnt
cpd16359	tmxfno
cpd16365	acppmd
cpd16379	apcdvrn
cpd16395	2phpdmcmt
cpd16396	cmlppaldh
cpd16401	hphtho
cpd16402	5phoznd
cpd16414	ctlpmppnt
cpd16416	ctlpmaldh
cpd16417	6thurt
cpd16422	6txthn5mp
cpd16434	dh5fura
cpd16435	afburdpp
cpd16437	5furi
cpd16438	5furimp
cpd16439	do5fctdn
cpd16448	dcsdcoa
cpd16471	bnzlpclt
cpd16479	9crtnl
cpd16483	5gdgp
cpd16494	dlg1p
cpd16511	ahlndn
cpd16512	ahnl
cpd16515	iacmbn
cpd16516	omacmbn
cpd16519	fmltn
cpd16520	ksgn
cpd16540	5dgclur
cpd16654	tcb
cpd16741	nfmmt
cpd16877	Nbfortyr
cpd16878	Nfortyr
cpd17026	mmql7
cpd17027	mmqn7
cpd17041	proteinsynth
cpd17042	dnarep
cpd17043	rnatrans
cpd17401	2omthpnt
cpd17403	hmeth
cpd17406	omthhxnt
cpd17407	dhmmthn
cpd17410	2o7mthnt
cpd17411	thmmthn
cpd17414	8mthocnt
cpd17415	tthmthn
cpd17418	9mth2nnt
cpd17419	phmmthn
cpd17420	27mthmlt
cpd17422	omthtdcnt
cpd17423	hxhmmthn
cpd17424	2abut2en
cpd17454	aoacd
cpd17455	hamna
cpd17512	oaptrpn
cpd17701	2dsciam
cpd17702	2d3ksciam
cpd17711	sctbrn
cpd18004	pphbda
cpd18006	fvprn
cpd18007	lchng
cpd18010	mnthlctn
cpd18011	fuc15lctn
cpd18036	sflcng
cpd18047	ppphbda
cpd18072	cytcox
cpd18074	cytcr
cpd18075	cytbdox
cpd18076	cytbdr
cpd18077	cytbox
cpd18078	cytbr
cpd18079	cytaaox
cpd18080	cytaar
cpd18081	cytcbbox
cpd18082	cytcbbr
cpd03364	nformanth
cpd15426	clpn140
cpd15427	clpn141
cpd15428	clpn160
cpd11920	trnapro
cpd12164	protrna
