CBPSam	2.000000 atp[m] + hco3[m] + nh4[m] 	->	2.000000 h[m] + 2.000000 adp[m] + pi[m] + cbp[m] 
CDIPTr	cdpdag_hs[c] + inost[c] 	<=>	h[c] + cmp[c] + pail_hs[c] 
CDS	h[c] + pa_hs[c] + ctp[c] 	->	ppi[c] + cdpdag_hs[c] 
CEPTE	cdpea[c] + dag_hs[c] 	->	h[c] + cmp[c] + pe_hs[c] 
CHLPCTD	h[c] + ctp[c] + cholp[c] 	->	ppi[c] + cdpchol[c] 
CHOLATEt3	h2o[c] + atp[c] + cholate[c] 	->	adp[c] + h[c] + pi[c] + cholate[e] 
CHOLK	atp[c] + chol[c] 	->	adp[c] + h[c] + cholp[c] 
CHSTEROLt	h2o[c] + atp[c] + chsterol[c] 	->	adp[c] + h[c] + pi[c] + chsterol[e] 
CO2ter	co2[c] 	<=>	co2[r] 
CSND	h2o[c] + h[c] + csn[c] 	->	nh4[c] + ura[c] 
CTPS1	nh4[c] + atp[c] + utp[c] 	->	adp[c] + 2.000000 h[c] + pi[c] + ctp[c] 
CTPS2	h2o[c] + atp[c] + gln_L[c] + utp[c] 	->	adp[c] + 2.000000 h[c] + pi[c] + glu_L[c] + ctp[c] 
CYOOm2	o2[m] + 4.000000 focytC[m] 	->	4.000000 h[m] + 2.000000 h2o[m] + 4.000000 ficytC[m] 
CYOR_u10m	2.000000 h[m] + 2.000000 ficytC[m] + q10h2[m] 	->	4.000000 h[c] + q10[m] + 2.000000 focytC[m] 
CYSO	o2[c] + cys_L[c] 	->	2.000000 h[c] + 3sala[c] 
CYTDK1	atp[c] + cytd[c] 	->	adp[c] + h[c] + cmp[c] 
DADNK	atp[c] + dad_2[c] 	->	adp[c] + h[c] + damp[c] 
DAGK_hs	atp[c] + dag_hs[c] 	<=>	adp[c] + h[c] + pa_hs[c] 
DDPGAm	4h2oglt[m] 	<=>	pyr[m] + glx[m] 
DGNSKm	atp[m] + dgsn[m] 	->	h[m] + adp[m] + dgmp[m] 
DM_13_cis_oretn_n_	13_cis_oretn[n] 	->	
DM_13_cis_retn_n_	13_cis_retn[n] 	->	
DM_Asn_X_Ser_Thr_ly_	Asn_X_Ser_Thr[l] 	->	
DM_atp_c_	h2o[c] + atp[c] 	->	adp[c] + h[c] + pi[c] 
DM_avite1_c_	avite1[c] 	->	
DM_avite2_c_	avite2[c] 	->	
DM_bvite_c_	bvite[c] 	->	
DM_core5_g_	core5[g] 	->	
DM_core7_g_	core7[g] 	->	
DM_core8_g_	core8[g] 	->	
DM_datp_m_	datp[m] 	->	
DM_datp_n_	datp[n] 	->	
DM_dctp_m_	dctp[m] 	->	
DM_dctp_n_	dctp[n] 	->	
DM_dem2emgacpail_prot_hs_r_	dem2emgacpail_prot_hs[r] 	->	
DM_dgpi_prot_hs_r_	dgpi_prot_hs[r] 	->	
DM_dgtp_m_	dgtp[m] 	->	
DM_dgtp_n_	dgtp[n] 	->	
DM_dsT_antigen_g_	dsT_antigen[g] 	->	
DM_dttp_m_	dttp[m] 	->	
DM_dttp_n_	dttp[n] 	->	
DM_ethamp_r_	ethamp[r] 	->	
DM_gncore2_g_	gncore2[g] 	->	
DM_gpi_sig_er_	gpi_sig[r] 	->	
DM_hretn_n_	hretn[n] 	->	
DM_kdn_c_	kdn[c] 	->	
DM_m_em_3gacpail_prot_hs_r_	m3gacpail_prot_hs[r] 	->	
DM_melanin_c_	melanin[c] 	->	
DM_mem2emgacpail_prot_hs_r_	mem2emgacpail_prot_hs[r] 	->	
DM_n5m2masn_g_	n5m2masn[g] 	->	
DM_oretn_n_	oretn[n] 	->	
DM_Ser_Thr_ly_	Ser_Thr[l] 	->	
DM_Ser_Gly_Ala_X_Gly_ly_	Ser_Gly_Ala_X_Gly[l] 	->	
DM_sprm_c_	sprm[c] 	->	
DM_sTn_antigen_g_	sTn_antigen[g] 	->	
DM_T_antigen_g_	T_antigen[g] 	<=>	
DM_yvite_c_	yvite[c] 	->	
DOLGLCP_Lter	0.100000 dolglcp_L[c] 	->	0.100000 dolglcp_L[r] 
DOLGLCP_Uter	0.100000 dolglcp_U[c] 	->	0.100000 dolglcp_U[r] 
DOLICHOL_Uter	0.100000 dolichol_U[r] 	<=>	0.100000 dolichol_U[c] 
DOLPGT3_Ler	h2o[r] + 0.100000 dolp_L[r] 	->	pi[r] + 0.100000 dolichol_L[r] 
DOPABMO	o2[c] + h[c] + dopa[c] + ascb_L[c] 	->	h2o[c] + nrpphr[c] + dhdascb[c] 
